iter	Passed	Remaining
193	3367	5311
194	3384	5293
195	3400	5274
196	3417	5255
197	3433	5236
198	3450	5219
199	3466	5200
200	3482	5181
201	3498	5161
202	3514	5141
203	3530	5122
204	3546	5103
205	3563	5085
206	3579	5066
207	3596	5048
208	3612	5030
209	3630	5013
210	3645	4993
211	3661	4973
212	3677	4954
213	3693	4935
214	3709	4916
215	3725	4898
216	3741	4879
217	3757	4860
218	3772	4840
219	3789	4822
220	3804	4803
221	3821	4784
222	3837	4766
223	3853	4748
224	3869	4729
225	3886	4711
226	3902	4693
227	3917	4674
228	3933	4654
229	3949	4636
230	3965	4618
231	3981	4599
232	3996	4579
233	4012	4561
234	4028	4542
235	4043	4523
236	4060	4505
237	4075	4487
238	4092	4469
239	4109	4451
240	4127	4435
241	4145	4419
242	4163	4402
243	4180	4386
244	4198	4369
245	4215	4352
246	4235	4338
247	4253	4322
248	4270	4305
249	4287	4287
250	4303	4269
251	4320	4251
252	4335	4232
253	4351	4214
254	4367	4196
255	4383	4178
256	4399	4160
257	4416	4142
258	4432	4124
259	4449	4107
260	4465	4089
261	4482	4071
262	4498	4053
263	4515	4036
264	4534	4021
265	4553	4005
266	4570	3988
267	4586	3970
268	4603	3953
269	4622	3937
270	4639	3920
271	4657	3904
272	4674	3887
273	4691	3869
274	4707	3851
275	4724	3834
276	4741	3817
277	4758	3799
278	4774	3781
279	4790	3763
280	4806	3746
281	4825	3730
282	4843	3714
283	4862	3698
284	4881	3682
285	4899	3666
286	4918	3650
287	4936	3634
288	4954	3617
289	4971	3599
290	4987	3582
291	5003	3564
292	5019	3546
293	5037	3529
294	5053	3511
295	5069	3494
296	5087	3477
297	5104	3460
298	5121	3442
299	5138	3425
300	5155	3408
301	5172	3390
302	5188	3373
303	5205	3356
304	5222	3339
305	5239	3321
306	5256	3304
307	5272	3287
308	5288	3268
309	5304	3251
310	5321	3233
311	5337	3215
312	5353	3198
313	5370	3181
314	5386	3163
315	5402	3145
316	5419	3128
317	5435	3110
318	5451	3093
319	5466	3075
320	5482	3057
321	5498	3039
322	5515	3022
323	5532	3005
324	5549	2988
325	5566	2971
326	5583	2954
327	5601	2937
328	5619	2920
329	5636	2903
330	5651	2885
331	5667	2867
332	5683	2850
333	5700	2833
334	5716	2815
335	5733	2798
336	5749	2780
337	5765	2763
338	5781	2745
339	5796	2727
340	5813	2710
341	5830	2693
342	5848	2676
343	5865	2660
344	5883	2643
345	5900	2626
346	5917	2609
347	5934	2592
348	5950	2574
349	5966	2557
350	5983	2539
351	5999	2522
352	6015	2505
353	6031	2487
354	6047	2470
355	6063	2452
356	6080	2435
357	6096	2418
358	6112	2400
359	6129	2383
360	6146	2366
361	6162	2349
362	6178	2331
363	6195	2314
364	6211	2297
365	6229	2280
366	6246	2263
367	6263	2246
368	6280	2229
369	6297	2212
370	6316	2196
371	6333	2179
372	6350	2162
373	6367	2145
374	6386	2128
375	6404	2111
376	6420	2094
377	6438	2078
378	6456	2061
379	6474	2044
380	6490	2027
381	6507	2010
382	6524	1993
383	6541	1976
384	6558	1959
385	6577	1942
386	6595	1925
387	6613	1908
388	6630	1892
389	6647	1875
390	6664	1857
391	6681	1840
392	6698	1823
393	6715	1806
394	6734	1790
395	6752	1773
396	6770	1756
397	6788	1739
398	6804	1722
399	6820	1705
400	6837	1688
401	6853	1670
402	6869	1653
403	6885	1636
404	6904	1619
